

train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  260 , n_estimators:  260
train:  0.9810941271118262 , test:  0.845
max_depth:  260 , n_estimators:  310
train:  0.9810941271118262 , test:  0.8466666666666667
max_depth:  260 , n_estimators:  360
train:  0.9810941271118262 , test:  0.84
max_depth:  260 , n_estimators:  410
train:  0.9810941271118262 , test:  0.8466666666666667
max_depth:  260 , n_estimators:  460
train:  0.9810941271118262 , test:  0.845
max_depth:  260 , n_estimators:  510
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  285 , n_estimators:  10
train:  0.9609814963797265 , test:  0.8216666666666667
max_depth:  285 , n_estimators:  60
train:  0.9798873692679002 , test:  0.84
max_depth:  285 , n_estimators:  110
train:  0.9810941271118262 , test:  0.85
max_depth:  285 , n_estimators:  160
train:  0.9810941271118262 , test:  0.85
max_depth:  285 , n_estimators:  210
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  285 , n_estimators:  260
train:  0.9810941271118262 , test:  0.8466666666666667
max_depth:  285 , n_estimators:  310
train:  0.9810941271118262 , test:  0.845
max_depth:  285 , n_estimators:  360
train:  0.9810941271118262 , test:  0.8416666666666667
max_depth:  285 , n_estimators:  410
train:  0.9810941271118262 , test:  0.8466666666666667
max_depth:  285 , n_estimators:  460
train:  0.9810941271118262 , test:  0.8433333333333334
max_depth:  285 , n_estimators:  510
train:  0.9810941271118262 , test:  0.8433333333333334
